request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,response_text,tool_calls,request_id,response_model,requested_service_tier,response_service_tier,azure_region,arm,provider,requested_model,azure_deployment,block_number,block_sequence,sequence_number,workload,workload_hash,request_shape_sha256,message_count,tool_count
2026-08-28T12:44:03.429723+00:00,1151.0932040000625,1316.6924649995053,1319.3276390011306,1326.478342001792,10031,10028,3,24,0,null,24,60,"Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqE7qvn82nWnbEcqD3CkIQPY9zC5,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,1,1,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:04.756674+00:00,1408.421358999476,1767.49994200145,1772.9916570024216,1779.3897820010898,10031,10028,3,24,0,null,24,60,"Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqE9xiP24sbRsLMYETRqsIzS4nrp,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,2,2,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:06.536274+00:00,1141.3459890027298,1523.2065620002686,1526.0744690021966,1538.1156710027426,10031,10028,3,35,0,null,35,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEBVrA0zT5o5ICDUTpy8ITIAnFQ,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,3,3,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:08.074564+00:00,1428.7811650028743,1930.3604300002917,1931.5566440018301,1944.3735870008823,10031,10028,3,32,0,null,32,96,"Na rezerváciu potrebujem typ izby, termín pobytu a vaše meno. Dostupnosť vám najprv rada overím.",[],chatcmpl-EHqEC1LYzyJm4Y1iL5ugwfznDgyfl,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,4,4,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:10.019119+00:00,1087.6358099994832,1422.8989289986202,1425.3836749994662,1439.1890529986995,10031,10028,3,35,0,null,35,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEEHL7TDg0QyfCMQ1z6gvSHuUBg,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,5,5,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:11.458503+00:00,2441.535609999846,3053.0091269974946,3057.8897799969127,3077.3103069986973,10031,10028,3,35,0,null,35,99,"Potrebujem typ izby, termín pobytu a vaše meno. Dostupnosť vám najprv overím priamo tu cez telefón.",[],chatcmpl-EHqEG7DFudcbNFZExbO1uys99O8kF,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,6,6,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:14.535984+00:00,1507.9515739998897,1920.6149419987923,1922.9016620010952,1936.3057510017825,10031,10028,3,35,0,null,35,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEIGHkpmlpiBe6w6ujVsFSTyEiV,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,7,7,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:16.472465+00:00,1622.506408002664,2134.3705100007355,2136.7878270029905,2150.3361800023413,10031,10028,3,35,0,null,35,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEKONBPwsCx5fb8c0TecTAUCr8i,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,8,8,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:18.622984+00:00,1725.216080001701,1736.6305940013262,1739.5238780009095,1749.3208270025207,10031,10028,3,24,0,null,24,60,"Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqEN2eZDwA1KkUecIiDHl0w6qDua,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,9,9,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:20.372555+00:00,1614.2397410003468,1711.4610749995336,1713.8073960013571,1719.0208560023166,10031,10028,3,19,0,null,19,47,"Potrebujem typ izby, termín pobytu a vaše meno.",[],chatcmpl-EHqEObADpBkRx0sDBXZTshERTpj0C,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,1,10,10,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
