request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,request_id,response_model,requested_service_tier,response_service_tier,azure_region,workload,provider,requested_model,iteration,request_shape_sha256,message_count,tool_count
2026-08-28T12:24:19.417914+00:00,2440.2065340000263,2557.8114240015566,2562.139648001903,2582.7635650020966,10056,0,10056,35,0,null,35,98,chatcmpl-EHpv2Ye02TUXq1W9F3Qlo72s5YeP4,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,1,364e11d21f95abf52414cb14ad3a29ebaeaddb77e4cbf9be513b1e67404f2624,3,4
2026-08-28T12:24:22.005370+00:00,1589.7552780006663,1985.4966499988222,1988.6567869980354,1997.2523369979172,10057,0,10057,24,0,null,24,60,chatcmpl-EHpv4M4mHwlI1Req06G2RKza6akQr,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,2,f4f6746886944a81936fb6969d08cb37aa11c5f94d7831ff942e1d047523a327,3,4
2026-08-28T12:24:24.010681+00:00,1107.2047749985359,1515.9366829975625,1518.5384760006855,1540.7047959997726,10060,0,10060,36,0,null,36,102,chatcmpl-EHpv6joqLM18bZfovfGGnPNJQHHI4,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,3,9a132dca168669f6a293e3224f202fae5d41486df9671700eaa9a7d796d51599,3,4
2026-08-28T12:24:25.556049+00:00,1302.8952490021766,1699.1500969998015,1700.934442000289,1708.7973760026216,10057,0,10057,34,0,null,34,95,chatcmpl-EHpv8DoKAMuFUN68PtEyM9sKaRs4q,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,4,b118349aface41d8794476e7eef8570fd7ba9f3e25a6e3560f35720a5da636f2,3,4
2026-08-28T12:24:27.269919+00:00,1533.4310200014443,1646.295825001289,1647.8183069993975,1651.7139360003057,10055,0,10055,24,0,null,24,60,chatcmpl-EHpv9LEDTeEQGMM6BkhdiB978HXal,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,5,285a07271f5330f65e0159764f446c3c8cfef0f3e312f4c11f2bb3a708d06cd6,3,4
2026-08-28T12:24:28.924525+00:00,1620.8121280033083,1621.7404820017691,1623.9737590003642,1634.9131330025557,10053,0,10053,35,0,null,35,98,chatcmpl-EHpvBZ6ALccQWZty0hBWzAH70CdKS,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,6,e020273fc3bab65e30468120df1dbce83be5eeddc9f2f83ef09c8fbb87aadde5,3,4
2026-08-28T12:24:30.563415+00:00,1313.487174000329,1453.6200170005031,1457.2178880007414,1468.7597190022643,10052,0,10052,35,0,null,35,98,chatcmpl-EHpvDFa5At9oNm21hN2oAAPWJDsuU,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,7,16187af5834be10b739973011fd375ac6e863ab93c6181cdae0c0a985c1d1146,3,4
2026-08-28T12:24:32.037974+00:00,1682.8145959989342,1835.0801599990518,1840.1976799978002,1858.885598998313,10057,0,10057,35,0,null,35,98,chatcmpl-EHpvEytZ7knUS07tsG0bssVJfibvE,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,8,b1ffea2804aae75c52fc80493b7bf5ff21f078b21ce073b367e8c48527baa73a,3,4
2026-08-28T12:24:33.903417+00:00,1250.4969029978383,1651.0743090002507,1654.5580929996504,1676.8616269982886,10056,0,10056,40,0,null,40,111,chatcmpl-EHpvGT904FHl5TpzLhC5Ko3qlFtMV,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,9,a0a755ff0f7a325bf0a66c672ed7459f9224f58452051a3c5767f32c811d96b0,3,4
2026-08-28T12:24:35.586485+00:00,1821.3417490005668,1832.9163700000208,1836.474873998668,1854.0282639987709,10056,0,10056,35,0,null,35,98,chatcmpl-EHpvIdAH8CipPipfDchQdUzlSfJlJ,gpt-5.6-terra-2026-07-09,default,default,Poland Central,cache_busted,azure,gpt-5.6-terra,10,de930322aac8004134e4ec2adda13ed7fa9cd3d282caf91000630871b762067d,3,4
2026-08-28T12:24:37.445922+00:00,1300.383473997499,1517.5930659970618,1520.8175039988419,1534.8712550003256,10060,0,10060,36,0,null,36,102,chatcmpl-EHpvJ46qcXyedkDD8LpSDWMDPs3kR,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,1,48d417bfdc89abbdc086209d4f6851b6ec8f91d89544683cb6d427b1b9ce90b9,3,4
2026-08-28T12:24:38.984576+00:00,1903.9371770013531,1938.6711270017258,1945.06069199997,1957.7839430021413,10061,0,10061,36,0,null,36,102,chatcmpl-EHpvLgRbibiNLWJF4nQFEgr3DSbtv,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,2,a11b3769fb90e833d32005d97180424e572579a68c336c45708800bb80e78c57,3,4
2026-08-28T12:24:40.945650+00:00,1478.6438689989154,1506.2813030017423,1507.6346380010364,1523.473486999137,10059,0,10059,37,0,null,37,112,chatcmpl-EHpvNsmGAZIzCUST63tulEFlg1a1P,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,3,e681ca3acf95660146efa97e0960140456ed0190419a6c028b820685f233bd1f,3,4
2026-08-28T12:24:42.476720+00:00,1281.8511069999659,1590.9308459995373,1593.3587690014974,1610.4374420028762,10057,0,10057,36,0,null,36,102,chatcmpl-EHpvO9c7MAsXBWjOhdrtkh8g4T06J,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,4,9a89d69c7942addeddd625e0bbf92a7ab0484ee3881c1668372e149896c19d68,3,4
2026-08-28T12:24:44.092685+00:00,1403.93867199964,1587.837319002574,1589.1641300004267,1615.234994002094,10055,0,10055,45,0,null,45,126,chatcmpl-EHpvQBVAmkoKz3FOgutgqI6DnhJlc,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,5,3525b55a70ff3140539b3a74c1e0f0fd76650dc0a7de861aa5f03b2a3b9c71e9,3,4
2026-08-28T12:24:45.712303+00:00,1523.8414129999,1564.6001389977755,1566.653960999247,1572.6228339990485,10058,0,10058,24,0,null,24,60,chatcmpl-EHpvSOYop2SJK45ic0FIJOa2xlzOZ,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,6,54724199a557223350772feba21ee3cc38e76c6c3038d1f70de60c127c095683,3,4
2026-08-28T12:24:47.289812+00:00,2097.545603999606,2223.0854160006857,2224.1332560006413,2229.0615319980134,10056,0,10056,40,0,null,40,112,chatcmpl-EHpvTEEr4cW5Uiz0QeUwkftxgVjb1,gpt-5.6-terra-2026-07-09,priority,priority,Poland Central,cache_busted,azure,gpt-5.6-terra,7,005da441ca7d36f740322009767213b3df9f8a98ea0bc03c1eb177185158cad6,3,4
