request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,request_id,response_model,requested_service_tier,response_service_tier,azure_region,workload,provider,requested_model,iteration,request_shape_sha256,message_count,tool_count
2026-08-28T12:25:44.339070+00:00,2313.4038870011864,2314.276904002327,2317.5093829995603,2353.3569810024346,10057,0,10057,30,0,null,30,85,chatcmpl-EHpwQ0EBBl6z0E2wX0oepK06ymwuq,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,1,5a20abe1bba9e92c298f012a97a7c21ef488ca4af48ff4983166eac65b9b661a,3,4
2026-08-28T12:25:46.696214+00:00,1778.547095000249,1779.2367939982796,1780.7470810002997,1947.1850089976215,10054,0,10054,38,0,null,38,120,chatcmpl-EHpwR9MrKAjUdK4FdzpNQwTNPNst4,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,2,3f953c169ba7c2259610b3d3f51288669c0dd17faef771fca5d62b4f733bcf66,3,4
2026-08-28T12:25:48.651348+00:00,1358.1428799989226,1358.971493998979,1362.303214998974,1441.9878709995828,10056,0,10056,37,0,null,37,101,chatcmpl-EHpwTs4Io39tUBb2kaeDtSin6zweP,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,3,722d5fa62efed3dae4417ab5b76c02c2e273a39cb875657eb0f5beb3bf21066b,3,4
2026-08-28T12:25:50.097613+00:00,1555.0129149996792,1555.3431330008607,1569.1496920007921,1739.7709200013196,10057,0,10057,30,0,null,30,85,chatcmpl-EHpwVT0Qf0Wz6kVvRV6VIns137j6V,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,4,da0a73df9b47479094615c0c608b64e2e85f14518d03a6af3621542c51e7812d,3,4
2026-08-28T12:25:51.840704+00:00,1755.2236660012568,1756.489095001598,1759.4779760001984,1801.690434000193,10053,0,10053,25,0,null,25,78,chatcmpl-EHpwX0ervQeO7BLLbwzFwdxGSUJ6n,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,5,62b4f0d68ec02cf77c5453446eaf6a1635281c536a7eb4bd396c7582e53cd3c2,3,4
2026-08-28T12:25:53.645855+00:00,1909.97712600074,1910.4894709998916,1912.8259640019678,2021.6066730026796,10055,0,10055,35,0,null,35,96,chatcmpl-EHpwZMYH5urLs5ZT4SziP33lVRjie,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,6,edb43b5c02c3f61411a4c524449b594f0dafdc05ed89c91d366ca4f0ab468557,3,4
2026-08-28T12:25:55.674257+00:00,990.7610270020086,991.276224001922,994.0187120009796,1030.5683160004264,10057,0,10057,30,0,null,30,85,chatcmpl-EHpwaTDDBetSb3LjgJUF5JpnNNdRg,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,7,807647516b5c9afb900a2780e9af7a9c3c4713b45e554f1d02f1a798ee2b49b8,3,4
2026-08-28T12:25:56.709348+00:00,2003.6390720015333,2004.306777002057,2005.7236950015067,2132.5692330028687,10055,0,10055,42,0,null,42,126,chatcmpl-EHpwcCgOUqzkJ3yf5bqUTfBG3qzdc,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,8,f21bd7fb6e0c2ddd6b821e5fd5969a39e720c4dcccbe0ea7db413ee94ca8800d,3,4
2026-08-28T12:25:58.853664+00:00,1498.1211079975765,1498.92563100002,1500.565475998883,1648.461299999326,10055,0,10055,41,0,null,41,125,chatcmpl-EHpwd1NetJxcLNaFjx5yjY47fXyd4,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,9,9442749d6a4bf20fbe42c0a6f6a0be962b83250e285fd9fd90626130ee6c223a,3,4
2026-08-28T12:26:00.509091+00:00,1684.841090998816,1685.712323000189,1687.644369998452,1721.660533999966,10055,0,10055,30,0,null,30,85,chatcmpl-EHpwftooj9mkhZor6LffumBd5M1JH,gpt-5.6-luna,default,default,,cache_busted,openai,gpt-5.6-luna,10,efe8282cf63f5f383a761b5272251d7a3998fae07b7b773e802e9324c372e0a2,3,4
