request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,request_id,response_model,requested_service_tier,response_service_tier,azure_region,workload,provider,requested_model,iteration,request_shape_sha256,message_count,tool_count
2026-08-28T12:21:23.119895+00:00,2221.319009999206,2222.247777999655,2269.963414999438,2659.5583090002037,10031,0,10031,34,0,null,34,98,chatcmpl-EHpsColdpt3GWqX94UbgRhjh8Lave,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,1,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:25.781009+00:00,1569.8741779997363,1570.729842998844,1576.6443559987238,1851.3508689993614,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsEwdT4s1g5BnDQk5t80kPo29vo,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,2,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:27.633879+00:00,2992.8874270008237,2993.9127760007977,2999.8757710000064,3811.855669000579,10031,10028,3,35,0,null,35,99,chatcmpl-EHpsHCWICpLJyMf6JWt4EGMpl9C46,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,3,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:31.447464+00:00,1429.7827379996306,1430.0010059996566,1431.0822890001873,1720.0007060000644,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsKo7O76GkSpWeok18XEA5I07NE,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,4,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:33.168613+00:00,1655.6400999998004,1656.266150999727,1659.8617590007052,2040.4130410006474,10031,10028,3,35,0,null,35,102,chatcmpl-EHpsMuPdEQczBOILW251aYcqHYVUI,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,5,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:35.210913+00:00,2582.204588999957,2582.7957359997527,2584.4294280013855,2883.286782000141,10031,10028,3,36,0,null,36,103,chatcmpl-EHpsPyOhYunACV4pTWpWWJTGnzMIB,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,6,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:38.096731+00:00,1373.8018770000053,1376.1132990002807,1402.8245009994862,1801.040770000327,10031,10028,3,39,0,null,39,111,chatcmpl-EHpsQypbLCTZXqcsY4Fgrp1TW22cE,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,7,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:39.900725+00:00,1212.0927910000319,1219.74841500014,1254.8058329994092,1701.973306000582,10031,10028,3,40,0,null,40,115,chatcmpl-EHpsS7rKuyiWzMMcMeY380zv3Zax1,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,8,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:41.604427+00:00,1415.5158330013364,1416.639650000434,1420.4378619997442,1729.2806730001757,10031,10028,3,35,0,null,35,99,chatcmpl-EHpsUBcgCiRnU6yvsWm6ZkSW5e9lw,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,9,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:43.334466+00:00,1424.3754399994941,1427.6990939997631,1464.0909259996988,1656.3230399988242,10031,10028,3,24,0,null,24,64,chatcmpl-EHpsWQyu0W2V7fOEqfiOiIgo8MzNE,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,10,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:44.991602+00:00,1149.2488700005197,1150.4756079993967,1189.2063369996322,1532.7317529990978,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsXXPEIpvMGdxYAY6otRjMoy1VX,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,11,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:46.526162+00:00,1304.396612000346,1305.4361819995393,1311.0231089995068,1535.6837430008454,10031,10028,3,35,0,null,35,102,chatcmpl-EHpsZEw0zbE2mJ1gdXXzKzjyS7nuO,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,12,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:48.063696+00:00,1302.6671269999497,1303.3666379997157,1309.842591999768,1524.1029619992332,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsackrySDPFYYVtkpQvT0h6Ltlf,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,13,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:49.589274+00:00,1109.6725999996124,1110.9514809995744,1118.3872849996987,1557.3454679997667,10031,10028,3,34,0,null,34,98,chatcmpl-EHpscXMBH9op4npZbKl7PliQrxnKh,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,14,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:51.147909+00:00,4116.9604689985135,4130.837129998326,4150.215163999746,4539.46193199954,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsgY4keSb22SRMMRKmV5JHckJ71,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,15,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:55.688649+00:00,3889.755422000235,3890.2564979998715,3928.31902800026,4292.03962900101,10031,10028,3,34,0,null,34,98,chatcmpl-EHpslvTcqBgDnzpJpoyt7vtnM0ID4,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,16,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:21:59.981371+00:00,4129.3137980010215,4129.7738989997015,4231.617417999587,4532.636906000334,10031,10028,3,34,0,null,34,98,chatcmpl-EHpspdnfcSoVIgnhgJ8PqmE7EZqHO,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,17,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:04.515690+00:00,2567.855467999834,2568.569631999708,2576.2565009990794,2923.6657459987327,10031,10028,3,34,0,null,34,98,chatcmpl-EHpssTQtS85yEhOruXZcGLjIRQQ4Z,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,18,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:07.439909+00:00,2004.657462999603,2005.8270280005672,2042.6375019997067,2420.2355010002066,10031,10028,3,34,0,null,34,98,chatcmpl-EHpsuCjfBCAvSg18xF91iToldEQN8,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,19,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:09.861895+00:00,4183.297835001213,4184.409180001239,4190.37860500066,4377.534204000767,10031,10028,3,35,0,null,35,102,chatcmpl-EHpszfPZOWMVFAWIgIr5YfDWQrZfj,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,20,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:14.240000+00:00,4036.900966999383,4037.939693998851,4043.1732010001724,4313.660893998531,10031,10028,3,34,0,null,34,98,chatcmpl-EHpt3zhDjFGsAI1iFEVfPbnDVOzGR,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,21,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:18.555139+00:00,3968.9581479997287,3969.543305998741,4006.5350819986634,4553.058122999573,10031,10028,3,35,0,null,35,102,chatcmpl-EHpt8VdWOw9umKsiDjN5mmHZhhJA4,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,22,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:23.109895+00:00,4144.806025000435,4145.954218000043,4149.406664999333,4351.042174999748,10031,10028,3,34,0,null,34,98,chatcmpl-EHptCoOAmtamhiA7EJBPKAuMbMjW4,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,23,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:27.461495+00:00,4093.96439000011,4094.8593570010416,4098.195440999916,4316.484254999523,10031,10028,3,35,0,null,35,102,chatcmpl-EHptGvTbTBHOp3OKvdwQRlCi5Q7zB,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,24,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:31.778771+00:00,4902.452317999632,4903.1223809997755,4938.633343999754,5336.562615999355,10031,10028,3,34,0,null,34,98,chatcmpl-EHptMziA1KuodVNzYvCgbIYnvgcIt,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,25,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:37.117058+00:00,2323.669876999702,2325.9806469995965,2355.0529929998447,2733.609255999909,10031,10028,3,35,0,null,35,102,chatcmpl-EHptO44Aai5G9Rb4f5vMR7G7Yh1VX,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,26,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:39.852898+00:00,3582.6973029998044,3584.1209609989164,3591.109819999474,3814.5756339999934,10031,10028,3,34,0,null,34,98,chatcmpl-EHptSYRyDI4mySHGg2c3pNxkhmil0,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,27,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:43.669123+00:00,1427.8895170009491,1429.6604959999968,1466.8389090002165,1824.1241770010674,10031,10028,3,34,0,null,34,98,chatcmpl-EHptUxEzjbWt0lIQONyJVzeKSvVDx,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,28,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:45.493810+00:00,1831.2586079991888,1831.9924999996147,1835.750222999195,2225.763262000328,10031,10028,3,34,0,null,34,98,chatcmpl-EHptW4w9r4tC1IlQZDSoWGGtphC0W,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,29,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:22:47.720670+00:00,3701.154222000696,3702.686348999123,3708.8938069991855,4315.707784000551,10031,10028,3,35,0,null,35,102,chatcmpl-EHptaHBaj74CtRwVjDRcPeIE1J2Dj,gpt-5.6-terra,default,default,,warm,openai,gpt-5.6-terra,30,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
