request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,request_id,response_model,requested_service_tier,response_service_tier,azure_region,workload,provider,requested_model,iteration,request_shape_sha256,message_count,tool_count
2026-08-28T11:50:20.745581+00:00,2198.0914949999715,2587.369087999832,2589.6432339995954,2610.500029999457,10031,0,10031,35,0,null,35,111,chatcmpl-EHpO9Ogv5qMLweLVUOmumfcYPd8yA,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,1,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:23.357298+00:00,1819.6635210006207,1913.8308490000782,1917.4780580015067,1933.731210001497,10031,10028,3,35,0,null,35,95,chatcmpl-EHpOB7Bc4B3L163M13dgsmCkxCVo8,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,2,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:25.292157+00:00,1530.7286130009743,1733.5194000006595,1737.8168020004523,1747.6276119996328,10031,10028,3,20,0,null,20,48,chatcmpl-EHpODcq1eClSo20XVxMl71AjYYtrM,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,3,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:27.043867+00:00,1819.6615880005993,1826.2707459998637,1832.548598998983,1852.7019909997762,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOF2BoBGHLj9xosWMn4jwZNCtrT,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,4,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:28.898266+00:00,1911.1552579997806,2035.4558119997819,2040.2220389987633,2056.274062999364,10031,10028,3,30,0,null,30,82,chatcmpl-EHpOHCVPPOPVBe2Pqqx6gTnn9m7Hf,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,5,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:30.956024+00:00,1593.561128998772,2001.1840789993585,2003.1207209995046,2010.367557999416,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOJ5yd7Q1VX2uOutgyAbd9yddCY,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,6,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:32.967223+00:00,1630.7980309993582,1749.1401349998341,1753.4845949994633,1770.5241000003298,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOL7m9VERWROhDDA6uuZhByhyV8,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,7,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:34.739306+00:00,1411.1143439986336,1840.5953159999626,1844.1527159993711,1862.9361699986475,10031,10028,3,35,0,null,35,98,chatcmpl-EHpONkFebuAu5Cu0huuslRFqxbKli,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,8,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:36.604201+00:00,1492.7895609998814,2088.521417001175,2092.1222060005675,2110.328032000325,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOP7qgz5bYy3I5WSbANt1VrNzQ2,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,9,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:38.715695+00:00,1821.3125580004998,1876.7063949999283,1879.479880000872,1896.5108709999186,10031,10028,3,33,0,null,33,98,chatcmpl-EHpOR4CqarZxAhdsMqEJEScRoUjDO,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,10,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:40.614081+00:00,1349.5083840007283,1765.1286520012945,1768.6540320009954,1787.1076990013535,10031,10028,3,36,0,null,36,102,chatcmpl-EHpOTuaOsqSULOiUg3IQshg2B0lqe,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,11,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:42.402767+00:00,1513.7696109995886,1764.0773839993926,1765.119739999136,1769.0035229989007,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOU2fsakzh5UgD0uCKEozJ2HUUH,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,12,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:44.172371+00:00,1280.9918819984887,1369.4084509988897,1374.9797279997438,1393.2011289998627,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOW8gM0Gz1PaHDlUhQto7jZTsNu,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,13,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:45.566912+00:00,1114.2727799997374,1626.1229640003876,1628.74599800125,1639.6467630002007,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOXM5Rh7uXnlBEON3FFEwle3jgP,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,14,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:47.207677+00:00,1726.2735730000713,1813.6744269995688,1817.52303400026,1838.0842759997904,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOZn0kPASexVGAYSQNo7tvqs4L8,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,15,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:49.047271+00:00,1727.9724780000834,1797.3716350006725,1799.5093739991717,1817.3911089998,10031,10028,3,36,0,null,36,102,chatcmpl-EHpObaKuco3wTErM1rx0bmAOeCveW,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,16,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:50.867040+00:00,1549.312696000925,1879.5324000002438,1880.9440910008561,1899.3572069994116,10031,10028,3,42,0,null,42,134,chatcmpl-EHpOdGpe0ICT1gaQjY0PbKcjOjxXN,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,17,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:52.767683+00:00,1591.9330779997836,1680.247878000955,1684.659444999852,1700.3838860000542,10031,10028,3,30,0,null,30,82,chatcmpl-EHpOf87fcfIPTUFZaSuY1cJEGyCjN,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,18,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:54.470290+00:00,1085.831512000368,1527.7375919995393,1531.091529999685,1543.6367849997623,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOgviWKXEU5dODK3pFqsZAz46cp,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,19,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:56.015487+00:00,1957.340393000777,2542.9929820002144,2547.4972810006875,2566.880200000014,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOi4iMG5X8dab7Hp3Tu1JCF2n8Q,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,20,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:50:58.583851+00:00,1514.9881430006644,1684.9179719993117,1688.0790859995614,1694.92888700006,10031,10028,3,20,0,null,20,51,chatcmpl-EHpOlOshI8sJCdhC4auKcyqGdHKO4,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,21,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:51:00.280806+00:00,1351.9034780001675,1353.9256580006622,1357.1338900001138,1380.0745919998008,10031,10028,3,35,0,null,35,98,chatcmpl-EHpOmy04bsZFpzEXC98mGNF43llwj,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,22,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:51:01.662138+00:00,1606.033612999454,1717.4509239994222,1722.0414189996518,1728.4798599994247,10031,10028,3,19,0,null,19,47,chatcmpl-EHpOou9Bbo3POoGwGMDFa2NfdYauX,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,23,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:51:03.392886+00:00,1209.2003990001103,1443.4896179991483,1446.84901599976,1464.2881460003991,10031,10028,3,36,0,null,36,99,chatcmpl-EHpOpdPRecHbKjcTORWvNjay4tQM4,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,24,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
2026-08-28T11:51:04.858772+00:00,1438.6190440000064,1700.3614559998823,1703.954206999697,1721.1600989994622,10031,10028,3,36,0,null,36,102,chatcmpl-EHpOrc5ZewI68dcsARagwbdRXQLHi,gpt-5.6-terra-2026-07-09,default,default,Poland Central,warm,azure,gpt-5.6-terra,25,ce5dc48a88cc06a8a4c1f72d31c323e18cd80b6b811c788cf68ebcdf63eb786b,3,4
